ZPID,Address,City,State,Price,Monthly Rent,Monthly Tax,Monthly Cash Flow,ROI %,MLS ID
109559003,"2675 E Mission Dr, Williams, AZ 86046","Williams",AZ,11500,1750,2,1543,1609.89,203799
220800464,"5680 N Gerstler Pl, Pahrump, NV 89060","Pahrump",NV,12500,1876,6,1659,1592.86,2770438
250717051,"27394 2nd Ave, Handley, WV 25102","Handley",WV,6500,915,42,692,1277.12,281858
191769864,"2533 Epidote Rd, Golden Valley, AZ 86413","Golden Valley",AZ,10500,1178,3,974,1113.65,038109
45130513,"2800 W Kevin Road, Avon Park, FL 33825","Avon Park",FL,16900,1654,9,1413,1003.3,B26012927
103220726,"604 Eisenhower Blvd, Lehigh Acres, FL 33974","Lehigh Acres",FL,17900,1758,37,1485,995.33,2026015533
459767122,"5519 Kennedy Ave, White Hall, AR 71602","White Hall",AR,10000,918,9,711,853.02,26002222
115718143,"706 E Park St, Du Quoin, IL 62832","Du Quoin",IL,13250,1189,67,908,822.05,12587101
2080488232,"0 N Essco St, Kingman, AZ 86409","Kingman",AZ,14000,1174,5,952,815.64,037968
225404097,"114 Walls St, Hartsel, CO 80449","Hartsel",CO,22400,1793,23,1512,810.06,S1068137
192076114,"694 Gillespie Rd, Chattanooga, TN 37411","Chattanooga",TN,20000,1438,3,1189,713.12,1532263
192076115,"696 Gillespie Rd, Chattanooga, TN 37411","Chattanooga",TN,20000,1438,3,1189,713.12,1532264
210665258,"1194 US - Hwy 12 #55, Montesano, WA 98563","Montesano",WA,25000,1679,9,1400,671.76,2498151
447131979,"1102 S 4th Ave, Hettinger, ND 58639","Hettinger",ND,45900,2733,39,2322,607.12,26-65
46697279,"537 SW 5th Street, Belle Glade, FL 33430","Belle Glade",FL,29000,1733,40,1403,580.68,B26012282
2054393409,"5891 Hazel Way #18, Paradise, CA 95969","Paradise",CA,26000,1428,24,1128,520.77,SN26073033
181953771,"4902 Sandpiper Ln, Zephyrhills, FL 33541","Zephyrhills",FL,29900,1590,43,1252,502.65,11641128
2128531379,"2251 NE 19th Ave Lot 55, Ocala, FL 34470","Ocala",FL,32900,1708,44,1355,494.09,11658838
2101319246,"7499 46th Ave N Lot 7, Saint Petersburg, FL 33709","Saint Petersburg",FL,34900,1731,53,1360,467.53,11220039
98437841,"6775 W Stoney Gap Ct, Crystal River, FL 34429","Crystal River",FL,26900,1310,17,1013,452.08,853763
112371545,"55688 N Latigo Rd, Seligman, AZ 86337","Seligman",AZ,38000,1754,4,1416,447.25,1080903
220792465,"3171 N Florenza St, Pahrump, NV 89060","Pahrump",NV,42500,1922,20,1547,436.67,2770050
346181410,"15175 Stringfellow Rd #38, Bokeelia, FL 33922","Bokeelia",FL,24900,1196,29,897,432.12,11641706
9006659,"6211 Foster Dr, Morrisville, PA 19067","Morrisville",PA,59900,2588,32,2117,424.07,PABU2117232
2053711691,"159 Redwood Rd #75, Whitethorn, CA 95589","Whitethorn",CA,39000,1729,35,1355,416.97,SR26073542
172165993,"3203 Bay Oaks Dr, Sarasota, FL 34234","Sarasota",FL,49900,2123,53,1679,403.79,11678882
249836028,"2201 S State Highway 5 Trailer 170, McKinney, TX 75069","McKinney",TX,45995,1949,52,1525,397.8,11637500
2103759460,"0 Davidson Rd, Olive Branch, MS 38654","Olive Branch",MS,30000,1301,14,992,396.82,4143298
66152585,"4434 CONNECTION AVE, Cape Coral, FL 33909","Cape Coral",FL,45900,1957,87,1498,391.6,226014847
2069256090,"10th Street LOT 1, 2, 3, Jasper, CO 81144","Jasper",CO,29500,1268,10,952,387.41,6934858
457506520,"5 Edgewood Dr, Youngsville, PA 16371","Youngsville",PA,30000,1270,35,940,376.12,14144
51391568,"2271 Soda Lake Cir, Shreveport, LA 71107","Shreveport",LA,19000,852,22,588,371.42,21150006
116386581,"306 W 3rd St, Cisco, TX 76437","Cisco",TX,35000,1426,35,1072,367.61,21163014
46351495,"17783 Bonifay Ln, Spring Hill, FL 34610","Spring Hill",FL,57000,2173,32,1715,361.12,W7884466
2054439422,"14 Don Quixote Lane, Pt Saint Lucie, FL 34952","Pt Saint Lucie",FL,49885,1938,90,1457,350.53,R11151846
2062656698,"12 Shoreland Dr #12, Fort Myers, FL 33905","Fort Myers",FL,49800,1892,58,1443,347.78,11677891
29891465,"221 Steele St, Jamestown, NY 14701","Jamestown",NY,44900,1631,32,1232,329.32,R1664745
307945987,"Old Indian Rd, Brodnax, VA 23920","Brodnax",VA,39900,1420,5,1072,322.37,141941
300328287,"6601 Eucalyptus Dr Spc 196, Bakersfield, CA 93306","Bakersfield",CA,45000,1586,47,1172,312.46,202601743
181957472,"5720 Blue Harbor Dr, New port richey, FL 34653","New port richey",FL,44900,1540,65,1108,296.22,11511417
36452457,"2528 E Oliver St, Baltimore, MD 21213","Baltimore",MD,50000,1664,57,1215,291.7,MDBA2194320
14429388,"3466 Blazing Pine Path #A, Decatur, GA 30034","Decatur",GA,39900,1540,97,965,290.36,10704746
17483932,"82962 Panamint Ave, Trona, CA 93562","Trona",CA,39000,1301,32,931,286.4,219143978DA
2102686101,"25 Duchess Creek Dr, Porum, OK 74455","Porum",OK,33000,1112,16,786,285.94,2612267
2055720118,"0 Big Foot Wallace Trl, Livingston, TX 77351","Livingston",TX,29900,1019,26,699,280.39,36291113
87191175,"602 5th St, Brownwood, TX 76801","Brownwood",TX,69500,2224,119,1619,279.57,21170151
224585136,"218 S Central Ave, Lacona, IA 50139","Lacona",IA,32500,1071,18,746,275.32,695599
2102686111,"22 Duchess Creek Dr, Porum, OK 74455","Porum",OK,35000,1111,17,775,265.61,2612004
13262501,"900 Mountain View Ave #216, Longmont, CO 80501","Longmont",CO,69900,2009,5,1517,260.38,6794
5163729,"2010 W Malone Ave, Peoria, IL 61605","Peoria",IL,42000,1328,76,899,256.99,PA1263804
460452651,"9144 General Puller Hwy, Topping, VA 23169","Topping",VA,114900,3214,54,2455,256.42,2609819
460326718,"1524 4th Avenue, Monte Vista, CO 81144","Monte Vista",CO,43500,1289,15,914,252.13,7762197
198396860,"2500 W Route 66 Lot 88, Flagstaff, AZ 86001","Flagstaff",AZ,79000,2204,29,1643,249.62,203989
76204128,"1509 S Walnut St, Pine Bluff, AR 71601","Pine Bluff",AR,26000,841,25,541,249.54,26002246
2102686903,"13 Duchess Creek Dr, Porum, OK 74455","Porum",OK,37000,1111,18,764,247.8,2612455
2067845094,"30 Ridgewood Road, Sparta, NC 28675","Sparta",NC,37500,1182,19,757,242.26,260933
241503373,"4301 Blake Rd SW Trailer 40, Albuquerque, NM 87121","Albuquerque",NM,55000,1528,39,1073,234.08,1100923
306830795,"205 Lost Valley Drive, Creede, CO 81130","Creede",CO,60000,1663,26,1164,232.9,4544473
2100276316,"293 Arizona Rd, Ash Fork, AZ 86320","Ash Fork",AZ,60000,1612,19,1153,230.62,1080637
2056813020,"5057 Lake Shore Rd #7, Hamburg, NY 14075","Hamburg",NY,59500,1670,91,1142,230.28,B1656305
36520860,"324 S Woodyear St, Baltimore, MD 21223","Baltimore",MD,60000,1674,85,1150,229.91,MDBA2184700
78819499,"1005 Cove Dr, West Tawakoni, TX 75474","West Tawakoni",TX,60000,1691,117,1134,226.85,21217401
241502402,"9000 Zuni Rd SE Unit W55, Albuquerque, NM 87123","Albuquerque",NM,45000,1228,32,828,220.89,1101386
4131695,"10106 S Union Ave, Chicago, IL 60628","Chicago",IL,76500,1961,38,1403,220.06,12549764
235402375,"492 Circle Drive, Pagosa Springs, CO 81147","Pagosa Springs",CO,65000,1677,34,1179,217.72,833226
4981881,"2006 Illinois Ave, Granite City, IL 62040","Granite City",IL,41500,1123,24,749,216.51,26015904
143344009,"9220 Main St, Westernville, NY 13486","Westernville",NY,99900,2657,237,1787,214.64,S1653216
17483491,"13759 Cedar St, Trona, CA 93562","Trona",CA,79900,2027,100,1391,208.85,2607986
2112276708,"16 Duchess Creek Dr, Porum, OK 74455","Porum",OK,42000,1100,21,726,207.55,2612413
347997721,"101 Hondo St, Pioneertown, CA 92268","Pioneertown",CA,75000,1862,71,1279,204.64,219146209PS
60301808,"509 N State Highway 359, Mathis, TX 78368","Mathis",TX,55000,1364,18,930,203.01,1741907
191711700,"620 SE 2nd Ave Unit 44, Canby, OR 97013","Canby",OR,59950,1485,41,1004,200.95,11661280
449635984,"1200 Artesian Rd Trailer 10, Eagle, ID 83616","Eagle",ID,94900,2230,34,1587,200.74,98974706
36554826,"1631 Ceddox St, Baltimore, MD 21226","Baltimore",MD,59900,1459,26,994,199.14,MDBA2206368
106855421,"12 E Main St, Madelia, MN 56062","Madelia",MN,79900,1941,82,1323,198.64,7038852
90294329,"933 County Road 118, Burnet, TX 78611","Burnet",TX,52500,1292,31,854,195.1,609626
42171025,"2149 Wabash Ave, Memphis, TN 38114","Memphis",TN,39900,1015,33,639,192.3,10211787
2070850463,"615 W Main St, Mitchell, IN 47446","Mitchell",IN,55000,1316,28,873,190.42,202606454
216471617,"205 Barker St, Athens, TX 75751","Athens",TX,55000,1317,30,872,190.16,26000536
192075145,"1018 Shallowford Rd, Chattanooga, TN 37411","Chattanooga",TN,50000,1184,16,776,186.26,1532262
33403881,"1449 Clearaire Rd, Cleveland, OH 44110","Cleveland",OH,60000,1428,60,928,185.68,226010193
102146876,"475 E Court St, Marion, NC 28752","Marion",NC,74900,1681,11,1158,185.47,4356131
233504989,"140 S Main St, Carsonville, MI 48419","Carsonville",MI,55000,1338,80,843,183.86,25055148
88557499,"19140 Algonac St, Detroit, MI 48234","Detroit",MI,54000,1268,49,808,179.65,20251055097
2102686110,"17 Duchess Creek Dr, Porum, OK 74455","Porum",OK,48000,1110,24,704,176.12,2612409
76345640,"132 Madison St, Macon, GA 31201","Macon",GA,72000,1565,24,1043,173.87,10615439
242751150,"2958 Mountain View Road #F, Silverdale, WA 98383","Silverdale",WA,109500,2249,3,1567,171.75,2483982
3064293,"3103 Woodside Dr, Jackson, MS 39212","Jackson",MS,55000,1248,49,784,170.96,4137500
60861429,"9111 66th Avenue NW #101, Gig Harbor, WA 98332","Gig Harbor",WA,89950,1863,0,1278,170.49,2468060
113258846,"1009 Brighton Jones Blvd, Gilchrist, TX 77650","Gilchrist",TX,97500,2013,42,1350,166.17,49618840
2082880684,"20 Duchess Creek Dr, Porum, OK 74455","Porum",OK,45000,1006,22,616,164.39,2612045
73647338,"2139 Duncan St, Louisville, KY 40212","Louisville",KY,47500,1066,39,647,163.46,26005051
30342677,"5057 Lake Shore Rd, Hamburg, NY 14075","Hamburg",NY,59500,1466,221,808,162.86,B1656305
106076904,"215 W Nezpique St, Jennings, LA 70546","Jennings",LA,89900,1845,45,1216,162.31,SWL25002463
42132346,"768 Ayers St, Memphis, TN 38107","Memphis",TN,56500,1217,37,757,160.76,10208547
90245368,"305 Lakeview Ave, Palestine, TX 75801","Palestine",TX,65000,1425,96,865,159.63,102994
344633524,"152 quest LOT 3, Spring Branch, TX 78070","Spring Branch",TX,90000,1897,87,1194,159.22,1880736
86130585,"314 W 12th St, Wewoka, OK 74884","Wewoka",OK,40000,947,74,530,158.86,1215239
53323653,"612 Manchester, Merkel, TX 79536","Merkel",TX,79900,1666,73,1057,158.82,21174513
233556703,"104 W Peterson Street, Edenton, NC 27932","Edenton",NC,60000,1298,64,794,158.74,100513549
2072690239,"31755 Gambel Ln E, Davenport, WA 99122","Davenport",WA,79900,1631,40,1055,158.45,202615007
2058082956,"0 Yarbrough Drive, Orondo, WA 98843","Orondo",WA,89900,1816,59,1165,155.57,2503033
4248969,"14826 Robey Ave, Harvey, IL 60426","Harvey",IL,90000,2183,437,1161,154.77,12480288
