ZPID,Address,City,State,Price,Monthly Rent,Rent Ratio %,ROI %,Monthly Cash Flow,Down Payment,Monthly Mortgage,Monthly Tax,Monthly Insurance,MLS ID,Bedrooms,Bathrooms,Year Built,Property Type
231070105,"188 Broadlands Dr, Eatonton, GA 31024","Eatonton",GA,100000,1968,1.97,134.6,1122,10000,483,46,150,10727119,0,0,0,"LOT"
246308499,"651 S Snowflake Ln, Brian Head, UT 84719","Brian Head",UT,110000,2136,1.94,106.35,975,11000,531,180,150,114147,4,3,1972,"TOWNHOUSE"
118591467,"3026 Hilltop Rd, Granbury, TX 76048","Granbury",TX,119900,2275,1.90,143.38,1433,11990,579,105,150,21184130,4,2,2010,"SINGLE_FAMILY"
77954912,"2009 North St, Gulfport, MS 39507","Gulfport",MS,95000,1790,1.88,139.21,1102,9500,459,79,150,4128653,4,1,1960,"SINGLE_FAMILY"
102617232,"887 1st Avenue S, Okanogan, WA 98840","Okanogan",WA,89000,1673,1.88,138.17,1025,8900,430,68,150,2477545,2,1,1910,"SINGLE_FAMILY"
2056820209,"861X Copper Sunset Trl, Mayer, AZ 86333","Mayer",AZ,75000,1378,1.84,134.7,842,7500,362,24,150,1080906,0,0,0,"LOT"
2077415788,"746 Arbolada Dr, Coulterville, CA 95311","Coulterville",CA,95000,1745,1.84,133.2,1054,9500,459,82,150,226040619,0,0,0,"LOT"
42200715,"2811 Ketchum Rd, Memphis, TN 38114","Memphis",TN,89900,1642,1.83,126.9,951,8990,434,107,150,10204479,6,2,1950,"SINGLE_FAMILY"
50385291,"4150 Crow Rd APT 4, Beaumont, TX 77706","Beaumont",TX,92000,1680,1.83,119.75,918,9200,444,167,150,264918,2,2,0,"TOWNHOUSE"
344603640,"324 Truax LOT 19, San Antonio, TX 78204","San Antonio",TX,78000,1423,1.82,120.17,781,7800,377,115,150,1955619,0,0,0,"LOT"
191797397,"4420 S Arizona Cir, Fort Mohave, AZ 86426","Fort Mohave",AZ,84900,1547,1.82,134.6,952,8490,410,35,150,037698,0,0,0,"LOT"
401787067,"3300 15th St W Space 383, Rosamond, CA 93560","Rosamond",CA,119900,2177,1.82,132.39,1323,11990,579,125,150,26001452,3,2,1976,"SINGLE_FAMILY"
73409788,"627 Tennessee St, Gary, IN 46402","Gary",IN,80000,1448,1.81,124.87,832,8000,387,79,150,833327,3,2,1924,"SINGLE_FAMILY"
194069056,"281 Kimmes Ln, Breckenridge, CO 80424","Breckenridge",CO,221000,3937,1.78,127.53,2349,22100,1068,249,200,S1056602,0,0,0,"LOT"
460955717,"840 N Broad St, New Orleans, LA 70119","New Orleans",LA,99000,1761,1.78,126.5,1044,9900,478,89,150,2546581,2,2,1978,"SINGLE_FAMILY"
2056820208,"860X Copper Sunset Trl, Mayer, AZ 86333","Mayer",AZ,75000,1327,1.77,126.54,791,7500,362,24,150,1080907,0,0,0,"LOT"
50393863,"1317 Rev Raymond Scott Ave, Port Arthur, TX 77640","Port Arthur",TX,79900,1412,1.77,104.89,698,7990,386,178,150,253759,2,1,0,"SINGLE_FAMILY"
85203574,"2520 S Andrews Rd, Yorktown, IN 47396","Yorktown",IN,79900,1412,1.77,118.84,791,7990,386,85,150,22079759,3,1,1940,"SINGLE_FAMILY"
70830118,"1203 Waldrop Pl, Decatur, GA 30034","Decatur",GA,89999,1590,1.77,79.1,593,9000,435,162,150,7731329,3,2,2004,"CONDO"
72341786,"1410 W Flamingo Ave Trailer 49, Nampa, ID 83651","Nampa",ID,79900,1405,1.76,120.99,806,7990,386,63,150,98977730,3,2,1976,"MANUFACTURED"
