ZPID,Address,City,State,Price,Monthly Rent,Rent Ratio %,ROI %,Monthly Cash Flow,Down Payment,Monthly Mortgage,Monthly Tax,Monthly Insurance,MLS ID,Bedrooms,Bathrooms,Year Built,Property Type
42230119,"2662 Orman Ave, Memphis, TN 38127","Memphis",TN,125000,1281,1.02,39.95,416,12500,604,111,150,10212394,4,2,1964,"SINGLE_FAMILY"
8807620,"13228 E 48th St, Yuma, AZ 85367","Yuma",AZ,119500,1156,0.97,39.64,395,11950,577,34,150,20261524,0,0,0,"LOT"
43028036,"9481 Sunrise Lakes Blvd APT 302, Fort Lauderdale, FL 33322","Fort Lauderdale",FL,155000,2148,1.39,39.59,511,15500,749,217,150,A11966886,2,2,1979,"CONDO"
245947576,"4709 Jonathan Edwards Ct, Mission, TX 78574","Mission",TX,180000,2034,1.13,39.49,592,18000,870,422,150,497459,4,3,2014,"SINGLE_FAMILY"
303759135,"1414 Spear St, Weslaco, TX 78596","Weslaco",TX,150000,1447,0.96,39.48,493,15000,725,79,150,501142,3,2,2020,"MANUFACTURED"
26569183,"1840 Katy St, New Braunfels, TX 78130","New Braunfels",TX,130000,1392,1.07,39.4,427,13000,628,187,150,609238,3,2,1982,"SINGLE_FAMILY"
244202503,"28472 Italian Bar Rd, Twain Harte, CA 95383","Twain Harte",CA,175000,1703,0.97,39.29,573,17500,845,134,150,20220879,2,1,1960,"SINGLE_FAMILY"
450774500,"434 NW 85th Street Rd #434, Miami, FL 33150","Miami",FL,224000,2725,1.22,39.28,733,22400,1082,343,200,A11980846,4,2,1958,"TOWNHOUSE"
87481219,"911 Elm St, Sweetwater, TX 79556","Sweetwater",TX,129900,1364,1.05,38.97,422,12990,628,165,150,21136516,2,2,0,"SINGLE_FAMILY"
968605,"312 E Ventura Dr, Birmingham, AL 35235","Birmingham",AL,123900,1271,1.03,38.78,400,12390,599,122,150,21447232,3,2,1952,"SINGLE_FAMILY"
47311958,"212 Sunset Dr, Lake Alfred, FL 33850","Lake Alfred",FL,119000,1161,0.98,38.75,384,11900,575,52,150,L4960261,2,1,1972,"MANUFACTURED"
338035763,"2020 Wooley Way, Seagoville, TX 75159","Seagoville",TX,237500,2361,0.99,38.4,760,23750,1147,223,200,21149038,4,4,2020,"SINGLE_FAMILY"
200021272,"607 Buckwheat Dr, Laredo, TX 78046","Laredo",TX,119000,1110,0.93,38.28,380,11900,575,5,150,20260329,3,2,2007,"MANUFACTURED"
87614010,"514 S Avenue C, Olney, TX 76374","Olney",TX,75000,836,1.11,38.27,239,7500,362,84,150,21230088,2,1,1950,"SINGLE_FAMILY"
87638439,"8700 Front Beach Rd Unit 8108, Panama City Beach, FL 32407","Panama City Beach",FL,385000,3620,0.94,38.17,1224,38500,1860,335,200,782672,4,5,2008,"SINGLE_FAMILY"
442599480,"1118 Pinder Ln, Dequincy, LA 70633","Dequincy",LA,134500,1290,0.96,37.83,424,13450,650,66,150,SWL25102392,3,2,2002,"SINGLE_FAMILY"
73692881,"2049 Tuskegee Dr, Marrero, LA 70072","Marrero",LA,200000,1891,0.95,37.81,630,20000,966,95,200,2551614,4,2,1979,"SINGLE_FAMILY"
47114929,"29250 Us Highway 19 N Lot 537, Clearwater, FL 33761","Clearwater",FL,147000,1709,1.16,37.74,462,14700,710,148,150,TB8473487,2,2,1977,"MANUFACTURED"
95227941,"119 Fleetwood Street, Presque Isle, ME 04769","Presque Isle",ME,117000,1322,1.13,37.69,367,11700,565,239,150,1654401,3,1,1968,"SINGLE_FAMILY"
205266797,"13117 Madrone Forest Dr, Nevada City, CA 95959","Nevada City",CA,190000,1896,1.00,37.63,596,19000,918,232,150,226037512,0,0,0,"LOT"
2076564435,"0 Highway 115, Clarkesville, GA 30523","Clarkesville",GA,124900,1209,0.97,37.47,390,12490,603,66,150,10729157,0,0,0,"LOT"
1032344,"1015 Palmer Ave, Bessemer, AL 35020","Bessemer",AL,110000,1074,0.98,37.44,343,11000,531,49,150,21439470,3,1,1960,"SINGLE_FAMILY"
94188164,"102 Utah St, Portsmouth, VA 23701","Portsmouth",VA,269000,2727,1.01,37.41,839,26900,1300,389,200,10612841,3,3,2008,"SINGLE_FAMILY"
315238,"2004 Rice St, Little Rock, AR 72202","Little Rock",AR,140000,1332,0.95,37.25,435,14000,676,71,150,26008315,3,2,1950,"SINGLE_FAMILY"
225812438,"624 Sandy Beach Court, Warrens, WI 54666","Warrens",WI,184900,1833,0.99,36.91,569,18490,893,221,150,2019963,3,2,2004,"SINGLE_FAMILY"
225812439,"622 Sandy Beach Court, Warrens, WI 54666","Warrens",WI,184900,1833,0.99,36.77,567,18490,893,223,150,2019962,3,2,2004,"SINGLE_FAMILY"
225812440,"620 Sandy Beach Court, Warrens, WI 54666","Warrens",WI,184900,1833,0.99,36.77,567,18490,893,223,150,2019961,3,2,2004,"SINGLE_FAMILY"
225812442,"614 Sandy Beach Court, Warrens, WI 54666","Warrens",WI,184900,1833,0.99,36.77,567,18490,893,223,150,2019959,3,2,2004,"SINGLE_FAMILY"
49206041,"14408 Portland Avenue SW, Lakewood, WA 98498","Lakewood",WA,249995,2301,0.92,36.47,760,25000,1208,133,200,2505695,2,1,1970,"MANUFACTURED"
47348402,"2417 W Parker St, Lakeland, FL 33815","Lakeland",FL,119000,1116,0.94,36.17,359,11900,575,32,150,L4960260,3,1,1966,"MANUFACTURED"
2053065396,"1306 Fancher St, Vinton, LA 70668","Vinton",LA,149900,1329,0.89,35.45,443,14990,724,12,150,SWL24000491,2,2,2023,"SINGLE_FAMILY"
447290701,"52 Pat St, Mount Vernon, TX 75457","Mount Vernon",TX,184900,1690,0.91,35.45,546,18490,893,100,150,25005801,3,2,0,"SINGLE_FAMILY"
22001491,"4753 SE 17th St, Oklahoma City, OK 73115","Oklahoma City",OK,130000,1271,0.98,35.36,383,13000,628,110,150,1221258,3,1,1955,"SINGLE_FAMILY"
87290657,"617 W Price St, Floydada, TX 79235","Floydada",TX,92200,893,0.97,35.32,271,9220,445,26,150,20983996,3,1,1955,"SINGLE_FAMILY"
26274364,"654 ELLOR DR, San Antonio, TX 78228","San Antonio",TX,150999,1400,0.93,35.23,443,15100,730,77,150,1956511,3,1,1953,"SINGLE_FAMILY"
306610188,"401 Whitaker Ln, Grants Pass, OR 97527","Grants Pass",OR,169000,1532,0.91,35.21,496,16900,817,70,150,220218089,0,0,0,"LOT"
49652810,"728 Harrison Ave NW, Roanoke, VA 24016","Roanoke",VA,160000,1453,0.91,35.1,468,16000,773,62,150,922595,3,1,1950,"SINGLE_FAMILY"
235437440,"43 Yearling Ct, Ludowici, GA 31316","Ludowici",GA,289900,2749,0.95,35.05,847,28990,1401,302,200,165563,4,3,2015,"SINGLE_FAMILY"
2098998311,"1500 Hummingbird Ct APT 11, Pharr, TX 78577","Pharr",TX,140000,1408,1.01,34.97,408,14000,676,174,150,479453,2,3,2013,"TOWNHOUSE"
222885461,"914 Madison Ave, Tuscumbia, AL 35674","Tuscumbia",AL,85000,831,0.98,34.96,248,8500,411,23,150,527477,2,1,1950,"SINGLE_FAMILY"
66683684,"3117 Manor Dr NE, Palm Bay, FL 32905","Palm Bay",FL,149000,1866,1.25,34.8,432,14900,720,240,150,1068099,3,3,1985,"TOWNHOUSE"
27155794,"3109 Point East Dr, Mesquite, TX 75150","Mesquite",TX,319950,2735,0.85,34.78,927,31995,1546,62,200,21091981,3,3,1967,"SINGLE_FAMILY"
246186996,"502 Roosevelt Ave, Mountainair, NM 87036","Mountainair",NM,107500,990,0.92,34.29,307,10750,519,13,150,1087530,2,1,1950,"SINGLE_FAMILY"
52714607,"115 Which Way, Pharr, TX 78577","Pharr",TX,149000,1454,0.98,34.01,422,14900,720,137,150,492710,3,2,1997,"MANUFACTURED"
23790846,"125 Hall St, Grand Rapids, MI 49507","Grand Rapids",MI,240000,2053,0.86,33.68,674,24000,1160,20,200,25047090,3,2,2025,"SINGLE_FAMILY"
87242537,"11005 Graham Way, Paint Rock, TX 76866","Paint Rock",TX,98000,936,0.96,33.59,274,9800,473,28,150,200191,2,1,1980,"SINGLE_FAMILY"
351474791,"621 Plainview St, Clarendon, TX 79226","Clarendon",TX,155000,1477,0.95,33.46,432,15500,749,146,150,25-9238,2,2,2021,"SINGLE_FAMILY"
18108625,"32561 San Miguelito Dr, Thousand Palms, CA 92276","Thousand Palms",CA,145000,1701,1.17,33.35,403,14500,701,125,150,219144349DA,2,1,1965,"MANUFACTURED"
210357477,"1712 S G St, Fort Smith, AR 72901","Fort Smith",AR,100000,945,0.95,33.27,277,10000,483,35,150,1329518,3,1,0,"SINGLE_FAMILY"
50400743,"4895 Belmont St, Beaumont, TX 77707","Beaumont",TX,156000,1576,1.01,33.23,432,15600,754,240,150,263763,3,2,0,"SINGLE_FAMILY"
43722623,"372 NW DIVIDER Terrace, Lake City, FL 32055","Lake City",FL,150000,1366,0.91,33.05,413,15000,725,78,150,2137070,3,1,1969,"SINGLE_FAMILY"
49873308,"423 Alabama Ave, Warner Robins, GA 31093","Warner Robins",GA,182500,1649,0.90,32.83,499,18250,882,118,150,183696,5,2,1966,"SINGLE_FAMILY"
338734949,"322 Rushing Rd, Denham Springs, LA 70726","Denham Springs",LA,300000,2607,0.87,32.67,817,30000,1449,141,200,2534645,4,2,1995,"SINGLE_FAMILY"
321484,"5505 Chaucer Ln, Little Rock, AR 72209","Little Rock",AR,142500,1281,0.90,32.44,385,14250,688,57,150,26011335,3,2,1965,"SINGLE_FAMILY"
209869202,"53 Halcon Pl, Hot Springs, AR 71909","Hot Springs",AR,155000,1611,1.04,32.27,417,15500,749,79,150,26014219,3,2,1976,"TOWNHOUSE"
19067713,"12792 10th Ave, Hanford, CA 93230","Hanford",CA,159200,1384,0.87,32.1,426,15920,769,39,150,646929,0,0,0,"LOT"
336776244,"22819 Grand Spg, Elmendorf, TX 78112","Elmendorf",TX,170000,1544,0.91,31.86,451,17000,821,121,150,1954605,3,2,1997,"MANUFACTURED"
232165202,"8012 SE Hood Cir, Prineville, OR 97754","Prineville",OR,199000,1696,0.85,31.73,526,19900,961,58,150,220217997,2,1,1976,"MANUFACTURED"
45779821,"1817 Wisconsin Ave, Bradenton, FL 34207","Bradenton",FL,120000,1404,1.17,31.4,314,12000,580,240,150,11673332,2,2,1960,"MANUFACTURED"
439779559,"11 McClung St, Phil Campbell, AL 35581","Phil Campbell",AL,85000,819,0.96,31.38,222,8500,411,36,150,527083,2,1,1960,"SINGLE_FAMILY"
53477208,"742 Donnelly St, Duryea, PA 18642","Duryea",PA,179000,1597,0.89,31.35,468,17900,865,115,150,772815,3,2,1950,"SINGLE_FAMILY"
11821355,"739 Baltimore St, Spartanburg, SC 29301","Spartanburg",SC,104000,1095,1.05,31.18,270,10400,502,172,150,333402,2,1,1966,"SINGLE_FAMILY"
80299890,"5711 Flint Dr, Granbury, TX 76048","Granbury",TX,219000,1848,0.84,30.93,564,21900,1058,23,200,21221008,3,2,2004,"SINGLE_FAMILY"
87318884,"200 NE Alpine Dr, Plainview, TX 79072","Plainview",TX,169500,1670,0.99,30.89,436,16950,819,265,150,26-27,4,2,0,"SINGLE_FAMILY"
247147978,"16329 Cherry Tree Ct, Clermont, FL 34714","Clermont",FL,159990,1756,1.10,30.58,408,15999,773,163,150,TB8493039,0,0,0,"LOT"
