ZPID,Address,City,State,Price,Monthly Rent,1% Ratio,ROI %,Monthly Cash Flow,Down Payment,Monthly Mortgage,Monthly Tax,Monthly Insurance,MLS ID,Bedrooms,Bathrooms,Year Built,Property Type
2067855906,"Lot#57 Twin Oaks Mountain Boulevard, Sparta, NC 28675","Sparta",NC,89500,895,1.00,25.86,193,8950,432,45,150,260957,0,0,0,"LOT"
2062140860,"1612 Katen Road, Ellensburg, WA 98926","Ellensburg",WA,184100,1840,1.00,45.08,692,18410,889,109,150,2503172,0,0,0,"LOT"
10664735,"1020 Vine St, West Newton, PA 15089","West Newton",PA,220000,2202,1.00,42.98,788,22000,1063,151,200,11415604,4,3,1911,"SINGLE_FAMILY"
42140337,"765 Grand St, Denver, TN 38114","Denver",TN,121900,1217,1.00,43.85,445,12190,589,33,150,10218999,3,2,1912,"SINGLE_FAMILY"
50700212,"1524 Morton St, Brownsville, TX 78521","Brownsville",TX,154900,1552,1.00,41.04,530,15490,748,124,150,29762972,3,2,1971,"SINGLE_FAMILY"
516720,"4339 Barker St SE, Washington, DC 20019","Washington",DC,349900,3506,1.00,53.21,1551,34990,1691,64,200,DCDC2252760,3,1,1940,"SINGLE_FAMILY"
458699074,"43 Jake Rd, Thoreau, NM 87323","Thoreau",NM,99900,1001,1.00,27.05,225,9990,483,143,150,20256789,1,1,2024,"SINGLE_FAMILY"
90348627,"803 E 14th St, Bonham, TX 75418","Bonham",TX,145000,1453,1.00,38.79,469,14500,701,134,150,21179308,3,2,1940,"SINGLE_FAMILY"
205266797,"13117 Madrone Forest Dr, Nevada City, CA 95959","Nevada City",CA,190000,1896,1.00,37.63,596,19000,918,232,150,226037512,0,0,0,"LOT"
42140494,"2545 Spottswood Ave, Memphis, TN 38114","Memphis",TN,92000,918,1.00,30.9,237,9200,444,87,150,10219793,2,1,1915,"SINGLE_FAMILY"
447614292,"20/ACRE S Burr Valley Rd, Bridgeville, CA 95526","Bridgeville",CA,188000,1886,1.00,41.93,657,18800,908,171,150,268781,2,1,1930,"SINGLE_FAMILY"
73472080,"126 N 42nd St, Louisville, KY 40212","Louisville",KY,130000,1295,1.00,41.3,447,13000,628,70,150,1712156,3,2,1930,"SINGLE_FAMILY"
34964453,"2617 Hancock Ave, Dayton, OH 45406","Dayton",OH,101500,1011,1.00,28.73,243,10150,490,128,150,953175,2,1,1919,"SINGLE_FAMILY"
93605,"308 6th Ave E, Oneonta, AL 35121","Oneonta",AL,140000,1406,1.00,42.57,497,14000,676,83,150,21442714,3,2,1940,"SINGLE_FAMILY"
