ZPID,Address,City,State,Price,Monthly Rent,Monthly Cash Flow,ROI %,Monthly Tax,MLS ID,Bedrooms,Bathrooms,Year Built,Property Type
36554826,"1631 Ceddox St, Baltimore, MD 21226","Baltimore",MD,59900,1459,994,199.14,26,MDBA2206368,2,1,1900,"TOWNHOUSE"
106855421,"12 E Main St, Madelia, MN 56062","Madelia",MN,79900,1941,1323,198.64,82,7038852,4,2,1885,"SINGLE_FAMILY"
90294329,"933 County Road 118, Burnet, TX 78611","Burnet",TX,52500,1292,854,195.1,31,609626,0,0,0,"LOT"
2070850463,"615 W Main St, Mitchell, IN 47446","Mitchell",IN,55000,1316,873,190.42,28,202606454,1,4,1880,"SINGLE_FAMILY"
216471617,"205 Barker St, Athens, TX 75751","Athens",TX,55000,1317,872,190.16,30,26000536,2,2,2005,"MANUFACTURED"
192075145,"1018 Shallowford Rd, Chattanooga, TN 37411","Chattanooga",TN,50000,1184,776,186.26,16,1532262,0,0,0,"LOT"
33403881,"1449 Clearaire Rd, Cleveland, OH 44110","Cleveland",OH,60000,1428,928,185.68,60,226010193,4,2,1924,"SINGLE_FAMILY"
102146876,"475 E Court St, Marion, NC 28752","Marion",NC,74900,1681,1158,185.47,11,4356131,2,1,1900,"MANUFACTURED"
233504989,"140 S Main St, Carsonville, MI 48419","Carsonville",MI,55000,1338,843,183.86,80,25055148,3,2,1990,"SINGLE_FAMILY"
88557499,"19140 Algonac St, Detroit, MI 48234","Detroit",MI,54000,1268,808,179.65,49,20251055097,2,1,1939,"SINGLE_FAMILY"
76345640,"132 Madison St, Macon, GA 31201","Macon",GA,72000,1565,1043,173.87,24,10615439,3,2,1900,"SINGLE_FAMILY"
242751150,"2958 Mountain View Road #F, Silverdale, WA 98383","Silverdale",WA,109500,2249,1567,171.75,3,2483982,2,2,1979,"MANUFACTURED"
3064293,"3103 Woodside Dr, Jackson, MS 39212","Jackson",MS,55000,1248,784,170.96,49,4137500,3,2,1956,"SINGLE_FAMILY"
60861429,"9111 66th Avenue NW #101, Gig Harbor, WA 98332","Gig Harbor",WA,89950,1863,1278,170.49,0,2468060,2,2,1994,"MANUFACTURED"
113258846,"1009 Brighton Jones Blvd, Gilchrist, TX 77650","Gilchrist",TX,97500,2013,1350,166.17,42,49618840,0,0,0,"LOT"
30342677,"5057 Lake Shore Rd, Hamburg, NY 14075","Hamburg",NY,59500,1466,808,162.86,221,B1656305,3,1,1930,"LOT"
106076904,"215 W Nezpique St, Jennings, LA 70546","Jennings",LA,89900,1845,1216,162.31,45,SWL25002463,4,2,1944,"SINGLE_FAMILY"
42132346,"768 Ayers St, Memphis, TN 38107","Memphis",TN,56500,1217,757,160.76,37,10208547,3,1,1960,"SINGLE_FAMILY"
90245368,"305 Lakeview Ave, Palestine, TX 75801","Palestine",TX,65000,1425,865,159.63,96,102994,3,1,0,"SINGLE_FAMILY"
344633524,"152 quest LOT 3, Spring Branch, TX 78070","Spring Branch",TX,90000,1897,1194,159.22,87,1880736,0,0,0,"LOT"
53323653,"612 Manchester, Merkel, TX 79536","Merkel",TX,79900,1666,1057,158.82,73,21174513,3,1,1932,"SINGLE_FAMILY"
233556703,"104 W Peterson Street, Edenton, NC 27932","Edenton",NC,60000,1298,794,158.74,64,100513549,2,2,1960,"SINGLE_FAMILY"
2072690239,"31755 Gambel Ln E, Davenport, WA 99122","Davenport",WA,79900,1631,1055,158.45,40,202615007,0,0,0,"LOT"
2058082956,"0 Yarbrough Drive, Orondo, WA 98843","Orondo",WA,89900,1816,1165,155.57,59,2503033,0,0,0,"LOT"
4248969,"14826 Robey Ave, Harvey, IL 60426","Harvey",IL,90000,2183,1161,154.77,437,12480288,3,2,1925,"SINGLE_FAMILY"
3046753,"1346 Fernwood Dr, Jackson, MS 39213","Jackson",MS,60000,1296,773,154.52,84,4140856,3,2,1955,"SINGLE_FAMILY"
88669188,"13150 Glenfield St, Detroit, MI 48213","Detroit",MI,59300,1253,751,152.04,65,20251059198,2,2,1950,"SINGLE_FAMILY"
54450786,"2764 Shell Bark Rd, Decatur, GA 30035","Decatur",GA,79000,1712,994,150.92,187,10716264,3,3,1975,"TOWNHOUSE"
88165922,"18954 Beland St, Detroit, MI 48234","Detroit",MI,59900,1230,746,149.5,44,20261019333,2,1,1949,"SINGLE_FAMILY"
247564223,"42 Greenbriar Ave, Burneyville, OK 73430","Burneyville",OK,119000,2673,1478,149.04,188,2607252,4,3,2019,"SINGLE_FAMILY"
2064459952,"4729 Wild Plum Ct #112, Memphis, TN 38118","Memphis",TN,60000,1233,745,149.02,48,10216089,2,2,1974,"CONDO"
210220230,"1881 Kitchens Rd, Macon, GA 31211","Macon",GA,52900,1087,644,146.07,38,260749,3,1,1958,"SINGLE_FAMILY"
85715679,"2 N Pearl St, Knox, IN 46534","Knox",IN,69000,1507,837,145.62,186,834186,4,3,1900,"SINGLE_FAMILY"
88743380,"20255 Santa Rosa Dr, Detroit, MI 48221","Detroit",MI,55000,1151,664,144.82,72,20261023708,2,1,1946,"SINGLE_FAMILY"
52953607,"103 SW 3rd St, Webster, FL 33597","Webster",FL,55000,1140,661,144.26,63,TB8469787,2,1,2003,"MANUFACTURED"
118591467,"3026 Hilltop Rd, Granbury, TX 76048","Granbury",TX,119900,2275,1433,143.38,105,21184130,4,2,2010,"SINGLE_FAMILY"
2085658676,"5790 Scottdale Rd, Saint Joseph, MI 49085","Saint Joseph",MI,74900,1470,889,142.51,69,26014000,0,0,0,"LOT"
93880171,"100 N 6th St, Patterson, IA 50218","Patterson",IA,90000,1852,1065,141.98,202,732941,3,2,1900,"SINGLE_FAMILY"
946172,"3664 43rd Ave N, Birmingham, AL 35207","Birmingham",AL,65000,1269,765,141.26,40,21443948,3,2,1964,"SINGLE_FAMILY"
26224157,"1315 ALAMETOS, San Antonio, TX 78201","San Antonio",TX,165000,3580,1940,141.07,693,1820609,5,4,1941,"SINGLE_FAMILY"
51333374,"200 E Herndon St, Shreveport, LA 71101","Shreveport",LA,67500,1305,787,139.96,42,20294293,4,1,1950,"SINGLE_FAMILY"
77954912,"2009 North St, Gulfport, MS 39507","Gulfport",MS,95000,1790,1102,139.21,79,4128653,4,1,1960,"SINGLE_FAMILY"
338170051,"2020 Trinity Pines Dr, Hayfork, CA 96041","Hayfork",CA,69000,1375,798,138.85,93,2112312,1,1,1970,"SINGLE_FAMILY"
102617232,"887 1st Avenue S, Okanogan, WA 98840","Okanogan",WA,89000,1673,1025,138.17,68,2477545,2,1,1910,"SINGLE_FAMILY"
88188680,"18712 Waltham St, Detroit, MI 48205","Detroit",MI,65000,1250,738,136.32,48,20261017457,3,2,1939,"SINGLE_FAMILY"
94587501,"8921 S Main St, Ora, IN 46968","Ora",IN,64000,1252,721,135.25,71,834189,3,1,1990,"SINGLE_FAMILY"
2056820209,"861X Copper Sunset Trl, Mayer, AZ 86333","Mayer",AZ,75000,1378,842,134.7,24,1080906,0,0,0,"LOT"
191797397,"4420 S Arizona Cir, Fort Mohave, AZ 86426","Fort Mohave",AZ,84900,1547,952,134.6,35,037698,0,0,0,"LOT"
231070105,"188 Broadlands Dr, Eatonton, GA 31024","Eatonton",GA,100000,1968,1122,134.6,46,10727119,0,0,0,"LOT"
461359845,"2985 Mercer University Dr #2, Macon, GA 31204","Macon",GA,60000,1158,671,134.12,48,183747,4,2,1965,"MULTI_FAMILY"
2077415788,"746 Arbolada Dr, Coulterville, CA 95311","Coulterville",CA,95000,1745,1054,133.2,82,226040619,0,0,0,"LOT"
401787067,"3300 15th St W Space 383, Rosamond, CA 93560","Rosamond",CA,119900,2177,1323,132.39,125,26001452,3,2,1976,"SINGLE_FAMILY"
47445771,"147 2ND Way, Interlachen, FL 32148","Interlachen",FL,60000,1162,658,131.55,64,2131163,3,2,1966,"MANUFACTURED"
193659844,"304 W Trilby St, Wrightsville, GA 31096","Wrightsville",GA,69000,1249,747,129.97,18,10457226,3,1,1936,"SINGLE_FAMILY"
94588167,"101 S Hamlet St, Hamlet, IN 46532","Hamlet",IN,64000,1181,692,129.69,30,834184,3,1,1960,"SINGLE_FAMILY"
194069056,"281 Kimmes Ln, Breckenridge, CO 80424","Breckenridge",CO,221000,3937,2349,127.53,249,S1056602,0,0,0,"LOT"
460701363,"1015 Westlake Blvd, Bessemer, AL 35020","Bessemer",AL,73900,1329,784,127.37,38,21444636,4,2,1965,"SINGLE_FAMILY"
42200715,"2811 Ketchum Rd, Memphis, TN 38114","Memphis",TN,89900,1642,951,126.9,107,10204479,6,2,1950,"SINGLE_FAMILY"
91291520,"519 E Harvey Ave, Wellington, KS 67152","Wellington",KS,55000,1075,581,126.74,78,667186,3,2,1922,"SINGLE_FAMILY"
2056820208,"860X Copper Sunset Trl, Mayer, AZ 86333","Mayer",AZ,75000,1327,791,126.54,24,1080907,0,0,0,"LOT"
19088765,"6380 15th Avenue, Lucerne, CA 95458","Lucerne",CA,65000,1205,685,126.52,56,326030176,2,1,1972,"MANUFACTURED"
460955717,"840 N Broad St, New Orleans, LA 70119","New Orleans",LA,99000,1761,1044,126.5,89,2546581,2,2,1978,"SINGLE_FAMILY"
120581696,"348 Arthur St, Montgomery, AL 36107","Montgomery",AL,54900,1012,574,125.42,23,568707,3,1,1930,"SINGLE_FAMILY"
42142558,"1694 Walker Ave, Memphis, TN 38114","Memphis",TN,129900,2275,1357,125.37,140,10213614,7,2,1905,"SINGLE_FAMILY"
73409788,"627 Tennessee St, Gary, IN 46402","Gary",IN,80000,1448,832,124.87,79,833327,3,2,1924,"SINGLE_FAMILY"
78813853,"2512 Bridge St, Gatesville, TX 76528","Gatesville",TX,70000,1302,728,124.77,86,21146462,3,2,1940,"SINGLE_FAMILY"
2082880945,"50 Duchess Creek Dr, Porum, OK 74455","Porum",OK,55000,1013,570,124.41,27,2612548,0,0,0,"LOT"
88325532,"20161 Yonka St, Detroit, MI 48234","Detroit",MI,69800,1264,709,121.84,68,20251059150,3,1,1948,"SINGLE_FAMILY"
72341786,"1410 W Flamingo Ave Trailer 49, Nampa, ID 83651","Nampa",ID,79900,1405,806,120.99,63,98977730,3,2,1976,"MANUFACTURED"
2062317287,"3771 S Deer Valley Dr #151, Magna, UT 84044","Magna",UT,55000,2100,553,120.61,22,2147529,3,2,1995,"MANUFACTURED"
344603640,"324 Truax LOT 19, San Antonio, TX 78204","San Antonio",TX,78000,1423,781,120.17,115,1955619,0,0,0,"LOT"
50385291,"4150 Crow Rd APT 4, Beaumont, TX 77706","Beaumont",TX,92000,1680,918,119.75,167,264918,2,2,0,"TOWNHOUSE"
77996369,"112 31st St, Gulfport, MS 39507","Gulfport",MS,67500,1200,671,119.36,52,4128322,3,1,1950,"SINGLE_FAMILY"
2079869247,"10 Vista De Oro, Placitas, NM 87043","Placitas",NM,119900,2013,1190,119.08,76,1101260,0,0,0,"LOT"
85203574,"2520 S Andrews Rd, Yorktown, IN 47396","Yorktown",IN,79900,1412,791,118.84,85,22079759,3,1,1940,"SINGLE_FAMILY"
105164810,"201 Beetree Ave, Nashville, GA 31639","Nashville",GA,79000,1348,780,118.52,36,148329,3,2,1940,"SINGLE_FAMILY"
245807950,"26 N 4th St, Mc Gill, NV 89318","Mc Gill",NV,59900,1143,585,117.23,118,2767085,2,1,1930,"SINGLE_FAMILY"
2084937713,"2274 W Henderson Avenue, Porterville, CA 93257","Porterville",CA,75000,1304,723,115.66,69,240779,0,0,0,"LOT"
7365703,"4965 E Allen Ave, Flagstaff, AZ 86004","Flagstaff",AZ,135000,2123,1300,115.56,21,203934,3,2,1988,"MANUFACTURED"
7315828,"320 Brownlee Ln, Sun Valley, NV 89433","Sun Valley",NV,159000,2472,1520,114.7,34,11637490,2,2,1985,"MANUFACTURED"
103377328,"706 SW 21st St, Cape Coral, FL 33991","Cape Coral",FL,108500,1800,1031,113.99,95,A4687977,0,0,0,"LOT"
235411061,"2444 Crooked Road, Pagosa Springs, CO 81147","Pagosa Springs",CO,100000,1618,934,112.1,51,832909,0,0,0,"LOT"
443660889,"807 County Road 6, Renville, MN 56284","Renville",MN,75000,1274,698,111.66,64,6720071,3,1,1910,"SINGLE_FAMILY"
88336925,"4224 W Davison, Detroit, MI 48238","Detroit",MI,74800,1260,686,110.02,63,20251059159,3,2,1946,"SINGLE_FAMILY"
77999534,"2535 Tandy Dr, Gulfport, MS 39503","Gulfport",MS,86000,1425,786,109.62,74,4126578,3,2,1976,"SINGLE_FAMILY"
19089739,"12860 2nd St, Clearlake Oaks, CA 95423","Clearlake Oaks",CA,73000,1227,663,108.98,61,LC26031809,1,1,1970,"MANUFACTURED"
113034127,"325 Morse Ave, Stinnett, TX 79083","Stinnett",TX,50000,906,452,108.52,62,25-5316,2,1,0,"SINGLE_FAMILY"
72813298,"530 5th St, Montgomery, AL 36110","Montgomery",AL,88999,1401,798,107.56,23,21449321,5,2,1956,"SINGLE_FAMILY"
50405541,"7570 Tall Pine St, Beaumont, TX 77713","Beaumont",TX,78000,1242,697,107.24,18,265714,2,2,0,"MANUFACTURED"
230728740,"1349 Point Mountain Rd, Webster Springs, WV 26288","Webster Springs",WV,65000,1064,578,106.65,22,10162995,3,2,1952,"SINGLE_FAMILY"
2086205681,"69 Mill Street, Harrington, ME 04643","Harrington",ME,130000,2054,1155,106.58,121,1644054,5,1,1930,"SINGLE_FAMILY"
246308499,"651 S Snowflake Ln, Brian Head, UT 84719","Brian Head",UT,110000,2136,975,106.35,180,114147,4,3,1972,"TOWNHOUSE"
50393863,"1317 Rev Raymond Scott Ave, Port Arthur, TX 77640","Port Arthur",TX,79900,1412,698,104.89,178,253759,2,1,0,"SINGLE_FAMILY"
66069470,"145 Echo Rd, Glocester, RI 02814","Glocester",RI,149900,2364,1302,104.25,188,1409695,2,1,1940,"SINGLE_FAMILY"
76143930,"334 S 21st St, West Memphis, AR 72301","West Memphis",AR,108000,1635,934,103.74,30,46250,4,2,0,"SINGLE_FAMILY"
461545269,"12257 W Jeffries Fwy, Detroit, MI 48204","Detroit",MI,55000,974,474,103.51,84,20261022461,2,1,1924,"SINGLE_FAMILY"
85133139,"732 Barclay St, Logansport, IN 46947","Logansport",IN,65000,1070,561,103.48,45,202604607,2,1,1900,"SINGLE_FAMILY"
2089403212,"0 XXX Game Trail Road, Cle Elum, WA 98922","Cle Elum",WA,179000,2676,1522,102.05,106,2497275,0,0,0,"LOT"
26228748,"230 CHICKERING AVE, San Antonio, TX 78210","San Antonio",TX,75000,1307,629,100.65,166,1939374,2,1,1947,"SINGLE_FAMILY"
109234755,"4641 Saddle Ridge Dr SE, Owens Cross Roads, AL 35763","Owens Cross Roads",AL,100000,1539,839,100.64,67,1789721,0,0,0,"SINGLE_FAMILY"
95504196,"42474 Garnet Ln, Shaver Lake, CA 93664","Shaver Lake",CA,139888,2215,1167,100.1,222,646765,0,0,0,"LOT"
22731797,"607 Palatine Ave, Fairmont, WV 26554","Fairmont",WV,59000,1057,490,99.57,132,10162609,2,1,1930,"SINGLE_FAMILY"
50776289,"400 E Cotton St, Longview, TX 75601","Longview",TX,149000,2306,1229,99,207,21136456,4,4,1946,"SINGLE_FAMILY"
24938605,"828 Olivina Ave APT 11, Livermore, CA 94551","Livermore",CA,169888,2392,1399,98.82,22,41129132,2,2,0,"MANUFACTURED"
70143458,"718 W Harrison St, Reidsville, NC 27320","Reidsville",NC,99900,1474,799,95.93,43,10081227,4,1,1922,"SINGLE_FAMILY"
2058678976,"1537-1557 Braley Rd N #10, Youngstown, NY 14174","Youngstown",NY,72900,1212,582,95.74,128,B1669926,0,0,0,"LOT"
2098541374,"0 Morning Dove Trl, Alice, TX 78332","Alice",TX,70000,1118,557,95.47,73,473950,0,0,0,"LOT"
448036419,"324 Avenue N, Beaver, OK 73932","Beaver",OK,85000,1348,675,95.36,112,1210895,4,2,1970,"SINGLE_FAMILY"
200677372,"2013 32nd Ave, Gulfport, MS 39501","Gulfport",MS,90000,1386,713,95.12,88,4132137,3,2,2006,"MULTI_FAMILY"
247800996,"103 B Ave, Seneca, OR 97873","Seneca",OR,99000,1434,782,94.79,24,220214299,3,1,0,"SINGLE_FAMILY"
216784310,"1448 County Road 1344, Chickasha, OK 73018","Chickasha",OK,139500,2091,1102,94.77,148,1219279,4,2,2022,"MANUFACTURED"
230515439,"61 Fairview Rd, Andrews, NC 28901","Andrews",NC,175000,2473,1376,94.35,102,157982,5,2,1903,"SINGLE_FAMILY"
174736152,"611 16th St N, Bessemer, AL 35020","Bessemer",AL,66700,1067,517,93.08,77,21441880,3,1,1920,"SINGLE_FAMILY"
88591710,"16155 Trinity St, Detroit, MI 48219","Detroit",MI,80000,1303,620,93.06,146,20261023516,3,1,1925,"SINGLE_FAMILY"
232932117,"2804 Highway 568, Ferriday, LA 71334","Ferriday",LA,73000,1131,566,93,63,11587888,2,1,0,"SINGLE_FAMILY"
88267393,"16176 Tracey St, Detroit, MI 48235","Detroit",MI,89900,1333,696,92.95,52,20251058606,3,2,1930,"SINGLE_FAMILY"
2058863713,"Us Highway 270, Heavener, OK 74937","Heavener",OK,60600,941,465,92.16,33,11687967,0,0,0,"LOT"
108424200,"6400 E Sundew Marsh Trl, Panama City Beach, FL 32413","Panama City Beach",FL,215000,3007,1638,91.45,130,787770,0,0,0,"LOT"
78907767,"1603 Speedway Ave, Wichita Falls, TX 76301","Wichita Falls",TX,55000,974,415,90.49,144,21145563,2,1,1929,"SINGLE_FAMILY"
243774560,"Tower Rd, Brodnax, VA 23920","Brodnax",VA,99900,1389,748,89.89,8,141939,0,0,0,"LOT"
336116048,"402 N 3rd St, Crowell, TX 79227","Crowell",TX,55000,881,411,89.71,54,21160997,2,1,1940,"SINGLE_FAMILY"
17483673,"13331 Holly St, Trona, CA 93562","Trona",CA,129999,1927,970,89.58,178,SW26039490,3,2,1943,"SINGLE_FAMILY"
42130008,"32 N Belvedere Blvd APT 10, Memphis, TN 38104","Memphis",TN,72000,1104,536,89.4,70,10211061,2,1,1962,"CONDO"
77996954,"2801 Gulf Ave, Gulfport, MS 39501","Gulfport",MS,80000,1182,596,89.37,50,4125764,3,1,1955,"SINGLE_FAMILY"
261564,"209 Cross St, Ward, AR 72176","Ward",AR,109500,1569,811,88.87,79,26004201,3,2,2000,"SINGLE_FAMILY"
81797271,"8997 Cambria CIR #2002, Naples, FL 34113","Naples",FL,375000,6392,2775,88.79,238,225072126,2,2,2011,"CONDO"
52463877,"64625 Pierson Blvd Space A20, Desert Hot Springs, CA 92240","Desert Hot Springs",CA,149000,1974,1096,88.3,8,219143045DA,3,2,1970,"MANUFACTURED"
77992659,"120 Carson Dr, Gulfport, MS 39503","Gulfport",MS,85000,1236,619,87.33,57,4126634,3,1,1970,"SINGLE_FAMILY"
15961487,"1210 Cacique St Space 14, Santa Barbara, CA 93103","Santa Barbara",CA,275000,3761,1987,86.71,245,26-421,2,2,1959,"MANUFACTURED"
452132124,"1712 Manor Pl, Dayton, OH 45406","Dayton",OH,84900,1285,607,85.75,118,956703,3,1,1930,"SINGLE_FAMILY"
213376313,"8494 Pansy Ave, San Angelo, TX 76901","San Angelo",TX,79000,1120,564,85.72,24,200200,2,1,2015,"MANUFACTURED"
91543562,"57 Sabio Way, Chelan, WA 98816","Chelan",WA,160000,2234,1141,85.59,95,2500684,0,0,0,"LOT"
88391230,"10785 E Outer Dr, Detroit, MI 48224","Detroit",MI,75000,1118,528,84.47,78,20261017448,2,1,1940,"SINGLE_FAMILY"
22093329,"11201 S Edgewater Rd, Claremore, OK 74017","Claremore",OK,125000,1731,878,84.28,99,2611962,3,3,1985,"SINGLE_FAMILY"
77996942,"2811 Gulf Ave, Gulfport, MS 39501","Gulfport",MS,80000,1144,561,84.13,47,4125759,3,1,1940,"SINGLE_FAMILY"
77952887,"731 Carter Dr, Gulfport, MS 39507","Gulfport",MS,130000,1792,904,83.44,110,4128781,4,3,1970,"SINGLE_FAMILY"
449851944,"22 Olive Ave, Lakewood, NY 14750","Lakewood",NY,85000,1296,587,82.81,149,R1657811,2,1,1910,"SINGLE_FAMILY"
77999490,"2537 W David Dr, Gulfport, MS 39503","Gulfport",MS,100000,1393,688,82.59,72,4126017,3,2,1974,"SINGLE_FAMILY"
36861240,"7023 Edgemont Rd, Frederick, MD 21702","Frederick",MD,200000,2840,1376,82.53,298,MDFR2077792,4,3,1940,"SINGLE_FAMILY"
45501367,"530 Sun Up St, North Fort Myers, FL 33917","North Fort Myers",FL,119900,1809,823,82.36,77,P4937633,2,2,1981,"MANUFACTURED"
457102211,"589 Altidore Ave, Dale, TX 78616","Dale",TX,134900,1934,923,82.15,209,610115,0,0,0,"LOT"
79227685,"2013 Saint Denis Ave, Norfolk, VA 23509","Norfolk",VA,150000,2126,1027,82.13,225,10623369,3,2,1922,"SINGLE_FAMILY"
51331202,"9304 Simpson Rd, Shreveport, LA 71129","Shreveport",LA,189900,2615,1291,81.59,256,21002955,3,2,1999,"SINGLE_FAMILY"
54982793,"17776 Red Bud Ln APT 12, Shasta Lake, CA 96019","Shasta Lake",CA,59000,1494,399,81.23,3,26648625,2,2,1974,"MANUFACTURED"
442316514,"302 N Martin Luther King Jr Blvd, Wichita Falls, TX 76306","Wichita Falls",TX,80000,1114,540,80.99,38,175964,3,1,1925,"SINGLE_FAMILY"
19463648,"18035 Mobley Springs Rd, Nevada City, CA 95959","Nevada City",CA,92000,1294,621,80.95,79,226041292,0,0,0,"LOT"
243688650,"569 Langtry St, Comstock, TX 78837","Comstock",TX,89000,1197,599,80.82,18,208165,3,2,1986,"MANUFACTURED"
460307394,"1278 N And South Rd Unit 1278, Saint Louis, MO 63130","Saint Louis",MO,115000,1814,773,80.68,110,26006333,2,2,1966,"CONDO"
77998505,"13412 Windridge Dr, Gulfport, MS 39503","Gulfport",MS,107000,1512,716,80.28,129,4127031,3,2,1992,"SINGLE_FAMILY"
232813116,"345 N Oliver St, Elberton, GA 30635","Elberton",GA,149900,1972,993,79.46,105,10580936,7,2,1928,"SINGLE_FAMILY"
70830118,"1203 Waldrop Pl, Decatur, GA 30034","Decatur",GA,89999,1590,593,79.1,162,7731329,3,2,2004,"CONDO"
247155855,"858 Hoke Ogden Rd, Odum, GA 31555","Odum",GA,180000,2299,1185,79.03,94,10700748,3,3,2006,"SINGLE_FAMILY"
46358793,"5318 Astrid Dr, Zephyrhills, FL 33541","Zephyrhills",FL,89000,1241,584,78.74,39,TB8501184,2,1,1983,"MANUFACTURED"
2067844963,"50 Mountain Vista Drive, Sparta, NC 28675","Sparta",NC,56500,895,369,78.32,28,260941,0,0,0,"LOT"
48055468,"5408 Barhydt Ave, Port Orange, FL 32127","Port Orange",FL,140000,1862,910,78.04,125,1223609,3,2,1972,"MANUFACTURED"
206706368,"106 E Magnolia Ave, Electra, TX 76360","Electra",TX,79000,1050,512,77.83,6,21200838,2,1,1935,"SINGLE_FAMILY"
29015449,"230 Hovenkamp St, Keller, TX 76248","Keller",TX,279500,3825,1799,77.23,476,21095632,3,2,1970,"SINGLE_FAMILY"
87299021,"120 N Plum, Pearsall, TX 78061","Pearsall",TX,95000,1344,609,76.94,126,1945130,3,1,0,"SINGLE_FAMILY"
35085406,"804 Linden Ave, Dayton, OH 45410","Dayton",OH,99000,1342,634,76.82,80,953145,3,2,1919,"SINGLE_FAMILY"
193800892,"301 Water St, Zapata, TX 78076","Zapata",TX,81500,1132,518,76.31,70,20260485,1,2,2025,"SINGLE_FAMILY"
36521152,"1610 McHenry St, Baltimore, MD 21223","Baltimore",MD,135000,1677,857,76.18,18,MDBA2206598,3,2,1920,"TOWNHOUSE"
2062798627,"LOT 5 Horse Creek Rd, Dubois, WY 82513","Dubois",WY,114000,1483,722,76.04,60,26-675,0,0,0,"LOT"
2111818318,"5284 Flowering Peach Dr #5284, Memphis, TN 38115","Memphis",TN,70000,987,443,75.91,56,10207745,2,2,1973,"TOWNHOUSE"
2059022641,"LOT 58A1 Goose Ln, Hilham, TN 38568","Hilham",TN,89929,1254,569,75.9,46,243386,0,0,0,"LOT"
2067844954,"51 Mountain Vista Drive, Sparta, NC 28675","Sparta",NC,57500,895,363,75.85,29,260948,0,0,0,"LOT"
2071686600,"0 Ridgway Rd, Pine Bluff, AR 71603","Pine Bluff",AR,60000,871,378,75.62,53,26014192,0,0,0,"LOT"
2118216373,"0 Wareham Rd, Plymouth, MA 02360","Plymouth",MA,199000,2531,1239,74.7,181,73492601,0,0,0,"LOT"
95510165,"42142 Opal Ln, Shaver Lake, CA 93664","Shaver Lake",CA,167677,2224,1042,74.55,222,646764,0,0,0,"LOT"
