ZPID,Address,City,State,Price,Monthly Rent,Rent Ratio %,ROI %,Monthly Cash Flow,Bedrooms,Bathrooms,Year Built,MLS ID,Down Payment,Monthly Mortgage,Monthly Tax,Monthly Insurance
261564,"209 Cross St, Ward, AR 72176","Ward",AR,109500,1569,1.43,88.87,811,3,2,2000,26004201,10950,529,79,150
77992659,"120 Carson Dr, Gulfport, MS 39503","Gulfport",MS,85000,1236,1.45,87.33,619,3,1,1970,4126634,8500,411,57,150
22093329,"11201 S Edgewater Rd, Claremore, OK 74017","Claremore",OK,125000,1731,1.38,84.28,878,3,3,1985,2611962,12500,604,99,150
77952887,"731 Carter Dr, Gulfport, MS 39507","Gulfport",MS,130000,1792,1.38,83.44,904,4,3,1970,4128781,13000,628,110,150
77999490,"2537 W David Dr, Gulfport, MS 39503","Gulfport",MS,100000,1393,1.39,82.59,688,3,2,1974,4126017,10000,483,72,150
51331202,"9304 Simpson Rd, Shreveport, LA 71129","Shreveport",LA,189900,2615,1.38,81.59,1291,3,2,1999,21002955,18990,917,256,150
77998505,"13412 Windridge Dr, Gulfport, MS 39503","Gulfport",MS,107000,1512,1.41,80.28,716,3,2,1992,4127031,10700,517,129,150
247155855,"858 Hoke Ogden Rd, Odum, GA 31555","Odum",GA,180000,2299,1.28,79.03,1185,3,3,2006,10700748,18000,870,94,150
29015449,"230 Hovenkamp St, Keller, TX 76248","Keller",TX,279500,3825,1.37,77.23,1799,3,2,1970,21095632,27950,1350,476,200
232006729,"20 County Road 505, Mc Crory, AR 72101","Mc Crory",AR,199000,2328,1.17,71.67,1189,6,4,1985,26013242,19900,961,28,150
73819060,"12 Avoyelles Pl, New Orleans, LA 70129","New Orleans",LA,145000,1836,1.27,71.25,861,3,2,1979,2538335,14500,701,125,150
458694297,"8506 NE 34th Pl, Spencer, OK 73084","Spencer",OK,125000,1545,1.24,65.54,683,3,2,2024,1204418,12500,604,108,150
26374003,"8514 Standing Rock, San Antonio, TX 78242","San Antonio",TX,89000,1214,1.36,64.15,476,3,1,1972,1931014,8900,430,158,150
47920201,"2290 Red Oak Rd, Perry, FL 32348","Perry",FL,115000,1337,1.16,62.07,595,2,1,1998,388091,11500,556,37,150
2057066548,"4536 Laine Ave, New Orleans, LA 70126","New Orleans",LA,189000,2282,1.21,61.99,976,3,2,2022,2540521,18900,913,243,150
70026561,"203 Shawnee Dr, Lagrange, GA 30240","Lagrange",GA,257000,3082,1.20,61.48,1317,4,4,1988,10667526,25700,1242,324,200
231670972,"601 Travis St, Alleyton, TX 78935","Alleyton",TX,150000,1671,1.11,61.47,768,3,2,1996,3969069,15000,725,28,150
2064733669,"22 Mudd Hole Rd, Gap Mills, WV 24941","Gap Mills",WV,79000,960,1.22,60.26,397,3,1,1973,25-749,7900,382,32,150
2057302658,"0 Sage Riv, Newberry, MI 49868","Newberry",MI,105900,1280,1.21,59.87,528,2,1,2003,25-266,10590,512,90,150
77999295,"2722 E David Dr, Gulfport, MS 39503","Gulfport",MS,115000,1338,1.16,58.34,559,3,2,1970,4126021,11500,556,73,150
