ZPID,Address,City,State,Price,Rent Estimate,Found Real Tax Data,Real Annual Tax,Real Monthly Tax,Tax Source,CSV Tax Amount,Updated Monthly Cash Flow,Updated Annual Cash Flow,Updated ROI %,Monthly Mortgage,Monthly Insurance,Monthly HOA,Total Monthly Expenses,Error
333384174,"9385 Pocida CT #101","Naples",FL,494977,7066,NO,0,0,"none",0,0,0,0,0,0,0,0,"No real tax data found in any field"
81797271,"8997 Cambria CIR #2002"," Naples", FL 34113",0,34113,YES,2861,238,annualTaxAmount,34348,32408,388891,0,0,100,1367,1705,""
54164317,"1281 Solana RD"," Naples", FL 34103",0,34103,YES,3969,331,annualTaxAmount,28169,32777,393327,0,0,100,895,1326,""
46882644,"3601 S Ocean Boulevard #307"," South Palm Beach", FL 33480",0,33480,YES,1401,117,annualTaxAmount,27180,32426,389115,0,0,100,837,1054,""
2060763121,"17 Pepperwood Way"," Soquel", CA 95073",0,95073,NO,0,0,"none",24817,0,0,0,0,0,0,0,"No real tax data found in any field"
62865966,"8723 Carrollwood Cv N"," Cordova", TN 38016",0,38016,NO,0,0,"none",20339,0,0,0,0,0,0,0,"No real tax data found in any field"
2068091278,"1194 State Hwy 12 #49"," Montesano", WA 98563",0,98563,NO,0,0,"none",20262,0,0,0,0,0,0,0,"No real tax data found in any field"
2126285116,"9402 Beech Park St"," Capitol Heights", MD 20743",0,20743,NO,0,0,"none",18840,0,0,0,0,0,0,0,"No real tax data found in any field"
456181091,"530 New Ave SW","Grand Rapids",MI,231700,3053,NO,0,0,"none",0,0,0,0,0,0,0,0,"No real tax data found in any field"
2101498979,"18741 SW 344th Dr"," Homestead", FL 33034",0,33034,NO,0,0,"none",18661,0,0,0,0,0,0,0,"No real tax data found in any field"
456181062,"436 Pleasant St SW"," Grand Rapids", MI 49503",0,49503,YES,2526,210,propertyTaxRate,18181,48978,587730,0,0,100,215,525,""
456181063,"440 Pleasant St SW"," Grand Rapids", MI 49503",0,49503,YES,2526,210,propertyTaxRate,18181,48978,587730,0,0,100,215,525,""
456181071,"448 Pleasant St SW"," Grand Rapids", MI 49503",0,49503,YES,2526,210,propertyTaxRate,18181,48978,587730,0,0,100,215,525,""
456181092,"452 Pleasant St SW"," Grand Rapids", MI 49503",0,49503,YES,2526,210,propertyTaxRate,18181,48978,587730,0,0,100,215,525,""
44809945,"8568 Heather Blvd"," Weeki Wachee", FL 34613",0,34613,NO,0,0,"none",18164,0,0,0,0,0,0,0,"No real tax data found in any field"
460213806,"7152 Crowder Blvd"," New Orleans", LA 70126",0,70126,NO,0,0,"none",18052,0,0,0,0,0,0,0,"No real tax data found in any field"
58511348,"204 Wynnfield Way"," McDonough", GA 30252",0,30252,NO,0,0,"none",17814,0,0,0,0,0,0,0,"No real tax data found in any field"
193905590,"1608 Backus St"," Paducah", TX 79248",0,79248,NO,0,0,"none",17807,0,0,0,0,0,0,0,"No real tax data found in any field"
443424247,"3200 N Port Royale Dr N #511"," Fort Lauderdale", FL 33308",0,33308,NO,0,0,"none",17657,0,0,0,0,0,0,0,"No real tax data found in any field"
2071497189,"1375 Pasadena Ave S LOT 511"," Saint Petersburg", FL 33707",0,33707,NO,0,0,"none",17278,0,0,0,0,0,0,0,"No real tax data found in any field"
