ZPID,Address,City,State,Price,Rent,Down Payment,Loan Amount,Monthly Mortgage,Monthly Tax,Monthly Insurance,Monthly HOA,Total Expenses,Monthly Cash Flow,Annual Cash Flow,ROI,Has Real Tax Data,Has Real Insurance Data,Has HOA Data,Annual Tax Amount,Annual Insurance Amount
2060763121,"17 Pepperwood Way, Soquel, CA 95073","Soquel",CA,398000,4141,39800,358200,1923,0,150,0,2073,2068,24817,62.35,false,false,false,0,0
62865966,"8723 Carrollwood Cv N, Cordova, TN 38016","Cordova",TN,225000,2965,22500,202500,1087,0,150,33,1270,1695,20339,90.4,false,false,true,0,0
2068091278,"1194 State Hwy 12 #49, Montesano, WA 98563","Montesano",WA,47500,2068,4750,42750,229,0,150,0,379,1689,20262,426.57,false,false,false,0,0
2126285116,"9402 Beech Park St, Capitol Heights, MD 20743","Capitol Heights",MD,79900,2106,7990,71910,386,0,150,0,536,1570,18840,235.79,false,false,false,0,0
2101498979,"18741 SW 344th Dr, Homestead, FL 33034","Homestead",FL,125000,3072,12500,112500,604,0,150,763,1517,1555,18661,149.29,false,false,true,0,0
44809945,"8568 Heather Blvd, Weeki Wachee, FL 34613","Weeki Wachee",FL,249900,2896,24990,224910,1207,0,150,25,1382,1514,18164,72.68,false,false,true,0,0
460213806,"7152 Crowder Blvd, New Orleans, LA 70126","New Orleans",LA,97000,2123,9700,87300,469,0,150,0,619,1504,18052,186.11,false,false,false,0,0
58511348,"204 Wynnfield Way, McDonough, GA 30252","McDonough",GA,333750,3247,33375,300375,1612,0,150,0,1762,1485,17814,53.38,false,false,false,0,0
193905590,"1608 Backus St, Paducah, TX 79248","Paducah",TX,35000,1803,3500,31500,169,0,150,0,319,1484,17807,508.77,false,false,false,0,0
443424247,"3200 N Port Royale Dr N #511, Fort Lauderdale, FL 33308","Fort Lauderdale",FL,370000,3409,37000,333000,1788,0,150,0,1938,1471,17657,47.72,false,false,false,0,0
2071497189,"1375 Pasadena Ave S LOT 511, Saint Petersburg, FL 33707","Saint Petersburg",FL,69999,1928,7000,62999,338,0,150,0,488,1440,17278,246.83,false,false,false,0,0
