Firebase ID,Address,City,State,Zip,ZPID,Price,Agent Phone,Broker Phone,Sent At,Status,Error,URL
0QHeRknFHBHgsQSjNKkI,"716 N Joplin Ave, Tulsa, OK 74115",Tulsa,OK,74115,22141810,165000,918-645-0668,918-645-0668,Tue Oct 28 2025 11:08:48 GMT-0500 (Central Daylight Time),success,"",https://www.zillow.com/homedetails/716-N-Joplin-Ave-Tulsa-OK-74115/22141810_zpid/
0fETyGfWVqW2gmvqXPnt,"1517 Chapman St, Houston, TX 77009",Houston,TX,77009,27771069,235000,832-526-7749,713-862-1600,Tue Oct 28 2025 11:08:52 GMT-0500 (Central Daylight Time),success,"",https://www.zillow.com/homedetails/1517-Chapman-St-Houston-TX-77009/27771069_zpid/
0wfOOQJpYg8poXwgRmVs,"2050 Egret Ave, New Braunfels, TX 78132",New Braunfels,TX,78132,331507775,425000,(512) 789-0900,(512) 789-0900,Tue Oct 28 2025 11:08:54 GMT-0500 (Central Daylight Time),success,"",https://www.zillow.com/homedetails/2050-Egret-Ave-New-Braunfels-TX-78132/331507775_zpid/
15HpTQjJktjRnx6TtwMj,"305 N Forest Ave, Tyler, TX 75702",Tyler,TX,75702,457913895,179900,214-502-9887,888-519-7431,Mon Nov 03 2025 08:02:31 GMT-0600 (Central Standard Time),success,"",https://www.zillow.com/homedetails/305-N-Forest-Ave-Tyler-TX-75702/457913895_zpid/
1rqiP2bNQAqVM3Rgm9Oa,"908 Evesham Ave, Toledo, OH 43607",Toledo,OH,43607,34665981,36800,419-408-0001,,Tue Oct 28 2025 11:09:02 GMT-0500 (Central Daylight Time),success,"",https://www.zillow.com/homedetails/908-Evesham-Ave-Toledo-OH-43607/34665981_zpid/
1xNIC1Q7J741utL5PQrW,"3213 Werder Dr, Saint Louis, MO 63121",Saint Louis,MO,63121,2694471,74900,314-698-6740,314-594-7543,Tue Oct 28 2025 11:09:04 GMT-0500 (Central Daylight Time),success,"",https://www.zillow.com/homedetails/3213-Werder-Dr-Saint-Louis-MO-63121/2694471_zpid/
1zLKj1iIDjDfDHipr5mc,"248 Palm Lane, Brooksville, FL 34601",Brooksville,FL,34601,80780795,205000,772-303-3377,772-343-7261,Tue Oct 28 2025 11:09:06 GMT-0500 (Central Daylight Time),success,"",https://www.zillow.com/homedetails/248-Palm-Ln-Brooksville-FL-34601/80780795_zpid/
20TNji0EqZS2evb3gztV,"9163 Loganberry Ln, Saint Louis, MO 63121",Saint Louis,MO,63121,2677221,69000,314-698-6740,314-594-7543,Tue Oct 28 2025 11:09:10 GMT-0500 (Central Daylight Time),success,"",https://www.zillow.com/homedetails/9163-Loganberry-Ln-Saint-Louis-MO-63121/2677221_zpid/
25K8fzx3dqXkptNm6qFB,"14885 Winthrop St, Detroit, MI 48227",Detroit,MI,48227,88714597,90000,248-647-3200,248-647-3200,Tue Oct 28 2025 13:01:04 GMT-0500 (Central Daylight Time),success,"",https://www.zillow.com/homedetails/14885-Winthrop-St-Detroit-MI-48227/88714597_zpid/
29USLDgMbQYlkFvsMNQN,"423 Jockey, San Antonio, TX 78227",San Antonio,TX,78227,65088182,219700,(210) 542-4959,210-542-4959,Tue Oct 28 2025 11:09:11 GMT-0500 (Central Daylight Time),success,"",https://www.zillow.com/homedetails/423-Jockey-San-Antonio-TX-78227/65088182_zpid/
