ZPID,Address,City,State,ZIP,County,Price,Assessor Website,Estimated Tax Range
333384174,"9385 Pocida CT #101","Naples",FL,34119,"Collier County",494977,https://www.collierpao.gov/,"$2,500 - $12,500 (0.5% - 2.5%)"
2060763121,"17 Pepperwood Way","Soquel",CA,95073,"Santa Cruz County",398000,https://assessor.santacruzcounty.us/,"$4,000 - $8,000 (1.0% - 2.0%)"
62865966,"8723 Carrollwood Cv N","Cordova",TN,38016,"Shelby County",225000,https://assessor.shelby.tn.us/,"$1,500 - $3,500 (0.67% - 1.5%)"
2068091278,"1194 State Hwy 12 #49","Montesano",WA,98563,"Grays Harbor County",47500,https://www.co.grays-harbor.wa.us/assessor,"$400 - $600 (0.88% rate)"
2126285116,"9402 Beech Park St","Capitol Heights",MD,20743,"Prince Georges County",79900,https://www.princegeorgescountymd.gov/1327/Real-Property-Assessment,"$800 - $1,200 (1.06% rate)"
456181091,"530 New Ave SW","Grand Rapids",MI,49503,"Kent County",231700,https://www.accesskent.com/Departments/Equalization/,"$3,500 - $4,500 (1.64% rate)"
2101498979,"18741 SW 344th Dr","Homestead",FL,33034,"Miami-Dade County",125000,https://www.miamidade.gov/propertyappraiser/,"$1,000 - $2,500 (0.83% rate)"
44809945,"8568 Heather Blvd","Weeki Wachee",FL,34613,"Hernando County",249900,https://www.hernandocounty.us/departments/departments-a-c/county-appraiser,"$2,000 - $4,000 (0.83% rate)"
460213806,"7152 Crowder Blvd","New Orleans",LA,70126,"Orleans Parish",97000,https://nola.gov/assessor/,"$500 - $1,000 (0.55% rate)"
58511348,"204 Wynnfield Way","McDonough",GA,30252,"Henry County",333750,https://www.henrycounty-ga.com/government/departments-services/tax-commissioner,"$3,000 - $4,000 (0.89% rate)"
193905590,"1608 Backus St","Paducah",TX,79248,"Cottle County",35000,https://www.cottlecad.org/,"$600 - $900 (1.69% rate)"
443424247,"3200 N Port Royale Dr N #511","Fort Lauderdale",FL,33308,"Broward County",370000,https://www.bcpa.net/,"$3,000 - $6,000 (0.83% rate)"
2071497189,"1375 Pasadena Ave S LOT 511","Saint Petersburg",FL,33707,"Pinellas County",69999,https://www.pcpao.org/,"$600 - $1,200 (0.83% rate)"
