ZPID,MLS ID,Address,City,State,ZIP,Property Type,Price,Rent Estimate,Days on Zillow,Down Payment (10%),Loan Amount,Monthly Mortgage,Monthly Tax,Tax Source,Monthly Insurance,Monthly HOA,Total Monthly Expenses,Monthly Cash Flow,Annual Cash Flow,Cash-on-Cash ROI %,Annual Tax Amount,Annual Insurance Amount,Bedrooms,Bathrooms,Year Built
81797271,225072126,"8997 Cambria CIR #2002, Naples, FL 34113","Naples",FL,34113,"CONDO",375000,6392,215,37500,337500,1812,238,property_record,113,1367,3530,2862,34348,91.59,2861,1350,2,2,2011
46882644,R11149284,"3601 S Ocean Boulevard #307, South Palm Beach, FL 33480","South Palm Beach",FL,33480,"CONDO",375000,5143,129,37500,337500,1812,117,property_record,113,837,2878,2265,27180,72.48,1401,1350,2,3,1984
456181062,25042848,"436 Pleasant St SW, Grand Rapids, MI 49503","Grand Rapids",MI,49503,"CONDO",231700,2919,250,23170,208530,1119,210,property_tax_rate,70,215,1614,1305,15655,67.57,2526,834,4,2,2025
456181063,25042849,"440 Pleasant St SW, Grand Rapids, MI 49503","Grand Rapids",MI,49503,"CONDO",231700,2919,250,23170,208530,1119,210,property_tax_rate,70,215,1614,1305,15655,67.57,2526,834,4,2,2025
456181071,25042853,"448 Pleasant St SW, Grand Rapids, MI 49503","Grand Rapids",MI,49503,"CONDO",231700,2919,250,23170,208530,1119,210,property_tax_rate,70,215,1614,1305,15655,67.57,2526,834,4,2,2025
456181092,25042854,"452 Pleasant St SW, Grand Rapids, MI 49503","Grand Rapids",MI,49503,"CONDO",231700,2919,250,23170,208530,1119,210,property_tax_rate,70,215,1614,1305,15655,67.57,2526,834,4,2,2025
14429388,10704746,"3466 Blazing Pine Path #A, Decatur, GA 30034","Decatur",GA,30034,"CONDO",39900,1540,53,3990,35910,193,97,property_record,12,135,437,1103,13242,331.87,1161,144,3,2,1974
43079041,F10519324,"3083 N Oakland Forest Drive #308, Oakland Park, FL 33309","Oakland Park",FL,33309,"CONDO",182000,2385,265,18200,163800,879,39,property_record,55,477,1450,935,11218,61.64,471,655,3,2,1986
2064459952,10216089,"4729 Wild Plum Ct #112, Memphis, TN 38118","Memphis",TN,38118,"CONDO",60000,1233,54,6000,54000,290,48,property_tax_rate,18,0,356,877,10525,175.42,576,216,2,2,1974
461529553,26009689,"6275 Rolling Fork Rd Unit 406-F, Charleston, SC 29406","Charleston",SC,29406,"CONDO",147500,1617,21,14750,132750,713,41,property_tax_rate,44,0,797,820,9835,66.68,487,531,2,2,1984
